title,artist,mood
Yana Ya Mafish,Tamer Hosny,Happy
El Hob El Kebir,Ragheb Alama,Happy
Nasini El Donya,Ragheb Alama,Sad
Ana W Bass,Elissa,Other
Min Awel Dekika,Elissa;Saad Lamjarred,Sad
august,Taylor Swift,Sad
Blank Space,Taylor Swift,Energetic
Delicate,Taylor Swift,Chill
So High School,Taylor Swift,Happy
I Knew You Were Trouble.,Taylor Swift,Energetic
Style,Taylor Swift,Energetic
Don’t Blame Me,Taylor Swift,Other
Cruel Summer,Taylor Swift,Energetic
Love Story (Taylor’s Version),Taylor Swift,Happy
Fortnight (feat. Post Malone),Taylor Swift;Post Malone,Sad
You Belong With Me (Taylor’s Version),Taylor Swift,Happy
Lover,Taylor Swift,Chill
Shake It Off,Taylor Swift,Happy
Enchanted (Taylor's Version),Taylor Swift,Other
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN;Taylor Swift,Sad
I Can Do It With a Broken Heart,Taylor Swift,Sad
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Sad
Anti-Hero,Taylor Swift,Sad
Look What You Made Me Do,Taylor Swift,Energetic
We Are Never Ever Getting Back Together,Taylor Swift,Energetic
Wildest Dreams (Taylor's Version),Taylor Swift,Sad
Karma,Taylor Swift,Energetic
willow,Taylor Swift,Chill
Bad Blood,Taylor Swift,Energetic
This Love (Taylor’s Version),Taylor Swift,Sad
cardigan,Taylor Swift,Sad
...Ready For It?,Taylor Swift,Energetic
Better Than Revenge,Taylor Swift,Energetic
You Need To Calm Down,Taylor Swift,Happy
Getaway Car,Taylor Swift,Other
"You're On Your Own, Kid",Taylor Swift,Sad
Who’s Afraid of Little Old Me?,Taylor Swift,Other
my tears ricochet,Taylor Swift,Sad
Down Bad,Taylor Swift,Sad
Call It What You Want,Taylor Swift,Chill
Guilty as Sin?,Taylor Swift,Other
You’re Losing Me (From The Vault),Taylor Swift,Sad
But Daddy I Love Him,Taylor Swift,Other
Lavender Haze,Taylor Swift,Energetic
Mine (Taylor's Version),Taylor Swift,Happy
All Of The Girls You Loved Before,Taylor Swift,Happy
The Tortured Poets Department,Taylor Swift,Other
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,Energetic
Midnight Rain,Taylor Swift,Sad
22 (Taylor's Version),Taylor Swift,Happy
Back To December,Taylor Swift,Sad
Welcome To New York,Taylor Swift,Happy
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift;Lana Del Rey,Chill
Mean,Taylor Swift,Energetic
Clean (Taylor's Version),Taylor Swift,Sad
All You Had To Do Was Stay,Taylor Swift,Sad
Bejeweled,Taylor Swift,Happy
Paper Rings,Taylor Swift,Happy
The Man,Taylor Swift,Energetic
If This Was A Movie (Taylor’s Version),Taylor Swift,Sad
Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,Chill
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,Sad
Mastermind,Taylor Swift,Chill
Long Live (Taylor's Version),Taylor Swift,Happy
champagne problems,Taylor Swift,Sad
exile (feat. Bon Iver),Taylor Swift;Bon Iver,Sad
Red,Taylor Swift,Energetic
Delicate - Recorded at The Tracking Room Nashville,Taylor Swift,Chill
the 1,Taylor Swift,Sad
End Game,Taylor Swift;Ed Sheeran;Future,Energetic
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift;Phoebe Bridgers,Sad
September - Recorded at The Tracking Room Nashville,Taylor Swift,Happy
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift;Chris Stapleton,Energetic
Fearless,Taylor Swift,Happy
Miss Americana & The Heartbreak Prince,Taylor Swift,Other
the last great american dynasty,Taylor Swift,Other
The Archer,Taylor Swift,Sad
illicit affairs,Taylor Swift,Sad
Our Song,Taylor Swift,Happy
Death By A Thousand Cuts,Taylor Swift,Sad
Crazier,Taylor Swift,Happy
Year 3000,Jonas Brothers,Happy
What Dreams Are Made Of,Hilary Duff,Happy
The Climb,Miley Cyrus,Sad
Potential Breakup Song,Aly & AJ,Energetic
Introducing Me,Nick Jonas,Happy
Ordinary Girl,Hannah Montana,Chill
Gotta Go My Own Way,Zac Efron;Vanessa Hudgens;Disney,Sad
Determinate - From 'Lemonade Mouth',Adam Hicks;Bridgit Mendler;Naomi Scott;Hayley Kiyoko,Energetic
You Are the Music in Me,Troy;Gabriella,Happy
S.O.S.,Jonas Brothers,Energetic
Lovebug,Jonas Brothers,Chill
He Could Be the One,Hannah Montana,Energetic
Beautiful Soul,Jesse McCartney,Chill
Wake Up,Hilary Duff,Energetic
The Tide Is High - Radio Mix,Atomic Kitten,Happy
This Is Me,Demi Lovato;Joe Jonas,Energetic
The Best of Both Worlds - From 'Hannah Montana'/Soundtrack Version,Hannah Montana,Happy
Amigas Cheetahs,The Cheetah Girls;Belinda,Energetic
Nobody's Perfect,Hannah Montana,Energetic
Here We Go Again,Demi Lovato,Energetic
Paranoid,Jonas Brothers,Sad
I'll Always Remember You,Hannah Montana,Sad
If We Were A Movie - From 'Hannah Montana'/Soundtrack Version,Hannah Montana,Chill
One In a Million - From 'Hannah Montana 2',Hannah Montana,Chill
7 Things - Single Version,Miley Cyrus,Energetic
La La Land,Demi Lovato,Energetic
You'll Always Find Your Way Back Home,Hannah Montana,Happy
We Rock,Cast Of Camp Rock,Energetic
The In Crowd,Mitchel Musso,Other
She's So Gone,Naomi Scott,Energetic
Heard It On The Radio,Austin Moon,Chill
The Subway,Chappell Roan,Other
